Date,Open,Close,High,Low,Volume,Typical_Price,lrets
2017-06-23,1002.539978,1003.73999,1004.619995,998.02002,2879100,1002.1266683333333,0.2433869879167716
2017-06-26,1008.5,993.97998,1009.799988,992.0,3386200,998.5933226666666,-0.9771226999831129
2017-06-27,990.690002,976.780029,998.799988,976.0,3782400,983.8600056666668,-1.7455588352882856
2017-06-28,978.549988,990.330017,990.679993,969.210022,3737600,983.4066773333334,1.3776760828959844
2017-06-29,979.0,975.929993,987.559998,965.25,4303000,976.2466636666667,-1.4647382727875247
2017-06-30,980.119995,968.0,983.469971,967.609985,3390300,973.026652,-0.8158768080298806
2017-07-03,972.789978,953.659973,974.48999,951.0,2909100,959.7166543333333,-1.4924901793727408
2017-07-05,961.530029,971.400024,975.0,955.25,3653000,967.2166746666667,1.843116913540399
2017-07-06,964.659973,965.140015,974.400024,959.02002,3259600,966.1866863333333,-0.646517054002782
2017-07-07,969.549988,978.76001,980.109985,969.140015,2643400,976.0033366666667,1.4013290505268117
2017-07-10,985.0,996.469971,999.440002,983.5,3546300,993.1366576666666,1.7932530144656234
2017-07-11,993.0,994.130005,995.98999,983.719971,2982700,991.2799886666667,-0.23510168853775326
2017-07-12,1000.650024,1006.51001,1008.549988,998.099976,3608600,1004.386658,1.2376202542810688
2017-07-13,1004.619995,1000.630005,1006.880005,995.900024,2880800,1001.136678,-0.5859104773284329
2017-07-14,1002.400024,1001.809998,1004.450012,996.890015,2102500,1001.0500083333333,0.1178555297352446
2017-07-17,1004.690002,1010.039978,1014.75,1003.809998,3712600,1009.5333253333333,0.8181550320518483
2017-07-18,1006.0,1024.449951,1026.030029,1004.0,4007600,1018.1599933333333,1.4165923132494207
2017-07-19,1025.0,1026.869995,1031.589966,1022.5,2964000,1026.9866536666666,0.23595004060350533
2017-07-20,1031.589966,1028.699951,1034.969971,1022.52002,3097500,1028.7299806666667,0.1780485735349835
2017-07-21,1021.280029,1025.670044,1026.099976,1011.0,2734600,1020.9233399999999,-0.2949721037857955
2017-07-24,1028.339966,1038.949951,1043.01001,1027.430054,3288000,1036.4633383333332,1.2864440116696407
2017-07-25,1038.050049,1039.869995,1043.329956,1032.47998,2447600,1038.5599770000001,0.08851599310872871
2017-07-26,1043.199951,1052.800049,1053.199951,1043.199951,2921300,1049.733317,1.235762759963066
2017-07-27,1069.550049,1046.0,1083.310059,1040.180054,10991700,1056.4967043333334,-0.647996248873639
2017-07-28,1012.140015,1020.039978,1032.849976,1001.0,7709400,1017.9633180000001,-2.5131544996973787
2017-07-31,1019.049988,987.780029,1019.049988,987.02002,7352100,997.9500123333333,-3.21370693811458
2017-08-01,996.109985,996.190002,1006.400024,991.580017,4572600,998.056681,0.8477974204749827
2017-08-02,1001.77002,995.890015,1003.210022,981.72998,4070000,993.6100056666666,-0.030117967120535383
2017-08-03,999.469971,986.919983,999.5,984.590027,3255800,990.33667,-0.904785955522236
2017-08-04,989.679993,987.580017,991.669983,982.0,2730300,987.0833333333334,0.06685581408802932
2017-08-07,990.650024,992.27002,995.0,987.140015,2676600,991.4700116666667,0.47377444605265495
2017-08-08,994.349976,989.840027,996.280029,985.789978,2902800,990.636678,-0.24519266436220377
2017-08-09,982.599976,982.01001,988.0,975.27002,3569700,981.76001,-0.7941839397655137
2017-08-10,976.299988,956.919983,979.859985,954.679993,5684100,963.819987,-2.588172615815054
2017-08-11,960.0,967.98999,970.390015,951.380005,3468000,963.2533366666667,1.1501970686968122
2017-08-14,978.409973,983.299988,985.5,976.190002,3172900,981.66333,1.569250326828886
2017-08-15,988.900024,982.73999,991.73999,982.0,2549300,985.4933266666667,-0.056967103559557586
2017-08-16,981.650024,978.179993,986.460022,973.219971,3132100,979.286662,-0.4650883523241056
2017-08-17,977.840027,960.570007,977.840027,960.320007,3512400,966.243347,-1.8166829474037804
2017-08-18,961.400024,958.469971,965.429993,954.650024,3284800,959.5166626666665,-0.21886327146480866
2017-08-21,957.570007,953.289978,961.200012,945.460022,3164500,953.3166706666667,-0.5419096345511853
2017-08-22,955.52002,966.900024,967.929993,955.5,2750000,963.443339,1.4175965821823233
2017-08-23,959.380005,958.0,962.0,954.200012,2668300,958.0666706666667,-0.9247324340235785
2017-08-24,957.419983,952.450012,959.0,941.140015,5195700,950.8633423333334,-0.5810153187066902
2017-08-25,956.0,945.26001,957.619995,944.099976,3324800,948.993327,-0.7577592277762335
2017-08-28,946.539978,946.02002,953.0,942.25,2596700,947.0900066666667,0.08036991126161297
2017-08-29,940.0,954.059998,956.0,936.330017,2874300,948.7966716666666,0.846282883740912
2017-08-30,958.440002,967.590027,969.409973,956.909973,2904600,964.6366576666666,1.4081911281680348
2017-08-31,974.700012,980.599976,981.0,972.76001,3331500,978.1199953333333,1.3356133004584159
2017-09-01,984.200012,978.25,984.5,976.880005,2535900,979.8766683333333,-0.23993436517990574
2017-09-05,975.400024,965.27002,976.77002,960.369995,2883200,967.4700116666667,-1.335738542052134
2017-09-06,968.320007,967.799988,971.840027,960.599976,2129900,966.7466636666667,0.26175662899614593
2017-09-07,974.0,979.469971,980.590027,972.549988,2566800,977.536662,1.1986137476378111
2017-09-08,979.099976,965.900024,979.880005,963.469971,2605300,969.75,-1.395124540379733
2017-09-11,974.460022,977.960022,981.940002,974.219971,2186700,978.0399983333333,1.2408457866161626
2017-09-12,983.27002,982.580017,984.669983,975.52002,2481100,980.9233399999999,0.47129907676586313
2017-09-13,983.969971,999.599976,1000.0,979.419983,3374700,993.006653,1.7173392284830058
2017-09-14,996.799988,992.210022,998.559998,987.73999,3913300,992.83667,-0.742037434912568
2017-09-15,993.01001,986.789978,996.25,984.030029,3760200,989.0233356666668,-0.5477572058430802
2017-09-18,990.400024,974.190002,992.789978,968.169983,3411300,978.3833209999999,-1.2850870003573434
2017-09-19,977.25,969.859985,978.23999,967.460022,2671100,971.8533323333335,-0.4454642822253163
2017-09-20,971.789978,973.210022,974.809998,962.159973,2888800,970.0599976666666,0.3448193124559573
2017-09-21,971.309998,964.650024,971.700012,962.02002,2337600,966.1233520000001,-0.8834542713898053
2017-09-22,961.01001,955.099976,965.609985,954.419983,2641800,958.376648,-0.9949344216038547
2017-09-25,949.309998,939.789978,949.419983,932.890015,5124000,940.699992,-1.6159599271635905
2017-09-26,945.48999,938.599976,948.630005,931.75,3564800,939.6599936666667,-0.12670448504783494
2017-09-27,948.0,950.869995,955.299988,943.299988,3148900,949.8233236666666,1.298797194026946
2017-09-28,951.859985,956.400024,959.700012,950.099976,2522600,955.4000040000001,0.5798910947683922
2017-09-29,960.109985,961.349976,964.830017,958.380005,2543800,961.5199993333332,0.5162260975180466
2017-10-02,964.0,959.190002,967.309998,952.119995,2442900,959.5399983333333,-0.22493412638615595
2017-10-03,958.0,957.099976,963.690002,950.369995,2666600,957.0533243333333,-0.2181326263480443
2017-10-04,954.210022,965.450012,967.789978,954.049988,2527400,962.4299926666666,0.8686472191874017
2017-10-05,970.0,980.849976,981.51001,969.640015,3229200,977.3333336666666,1.5825191888836798
2017-10-06,975.640015,989.580017,995.75,975.640015,3782100,986.9900106666668,0.886110966029996
2017-10-09,993.23999,990.98999,998.5,987.5,2938600,992.3299966666667,0.1423805503678821
2017-10-10,996.669983,987.200012,997.950012,980.099976,3084900,988.4166666666666,-0.3831768064085139
2017-10-11,991.27002,995.0,995.5,986.700012,2337100,992.4000040000001,0.7870071851877825
2017-10-12,996.809998,1000.929993,1008.440002,992.400024,4067300,1000.5900063333333,0.5942102647980008
2017-10-13,1007.0,1002.940002,1007.77002,1001.030029,2431500,1003.9133503333333,0.20061278217955447
2017-10-16,1008.440002,1006.340027,1009.570007,1001.039978,2008900,1005.6500040000001,0.33843249284846166
2017-10-17,1005.590027,1009.130005,1011.469971,1004.380005,2319700,1008.3266603333333,0.27685648883784
2017-10-18,1009.27002,997.0,1022.309998,996.549988,2499700,1005.286662,-1.2093087483393106
2017-10-19,990.0,986.609985,991.049988,980.23999,3108200,985.9666543333333,-1.0475960597155165
2017-10-20,993.530029,982.909973,994.619995,982.0,2365100,986.5099893333332,-0.37572773383356406
2017-10-23,986.72998,966.299988,986.780029,962.5,3494100,971.8600056666668,-1.7043199439588541
2017-10-24,969.0,975.900024,979.849976,965.0,2723900,973.5833333333334,0.988581415334
2017-10-25,978.0,972.909973,984.440002,966.23999,3033100,974.5299883333333,-0.3068594014668413
2017-10-26,980.330017,972.429993,982.900024,968.549988,5618700,974.6266683333333,-0.049346645638159714
2017-10-27,1058.140015,1100.949951,1105.579956,1050.550049,16565000,1085.6933186666668,12.413059165472795
2017-10-30,1095.01001,1110.849976,1122.790039,1093.560059,6613100,1109.0666913333332,0.8952067494282012
2017-10-31,1109.0,1105.280029,1110.540039,1101.119995,3477000,1105.6466876666666,-0.5026743662104316
2017-11-01,1105.400024,1103.680054,1108.969971,1096.73999,3755500,1103.130005,-0.14486230802548405
2017-11-02,1097.810059,1094.219971,1101.939941,1086.869995,3684900,1094.3433023333334,-0.860834552180112
2017-11-03,1091.150024,1111.599976,1112.680054,1088.52002,3751500,1104.2666833333333,1.575864312394959
2017-11-06,1109.150024,1120.660034,1125.410034,1108.77002,3381100,1118.2800293333332,0.8117430504196221
2017-11-07,1124.73999,1123.170044,1130.599976,1117.5,2689000,1123.7566733333333,0.22372559059249397
2017-11-08,1122.819946,1132.880005,1135.540039,1119.109985,2581500,1129.1766763333333,0.8607983640364303
2017-11-09,1125.959961,1129.130005,1129.619995,1115.77002,3732700,1124.8400066666666,-0.33156382322596656
2017-11-10,1126.099976,1125.349976,1131.75,1124.060059,2179900,1127.053345,-0.3353352058167225
